"C_EIN"|"C_Org_Name"|"INDIV_GRANT_ID"|"XML_DOCUMENT_ID"|"IND_GRANT_TYPE"|"IND_REGION"|"IND_NUM_RECIPIENTS"|"IND_CASH_GRANT"|"IND_DISBURSE_MANNER"|"IND_NON_CASH_ASSIST"|"IND_NON_CASH_DESCR"|"IND_METHOD_VALUE"
"01-0215213"|"BOWDOIN COLLEGE"|"6337"|"1497088"|"FINANCIAL AID"|"South Asia"|"1"|"8000.0000"|"WIRE TRANSF"|""|""|""
"01-0215213"|"BOWDOIN COLLEGE"|"6338"|"1497088"|"FINANCIAL AID"|"Sub-Saharan Africa"|"2"|"4000.0000"|"WIRE TRANSF"|""|""|""
"02-0222111"|"Trustees of Dartmouth College"|"6375"|"1499487"|"Scholarships/Tuition Remission"|"Central America and the Caribbean"|"6"|""|""|"91979.0000"|"Student scholarships"|"FMV"
"02-0222111"|"Trustees of Dartmouth College"|"6376"|"1499487"|"Scholarships/Tuition Remission"|"East Asia and the Pacific"|"37"|""|""|"540139.0000"|"Student scholarships"|"FMV"
"02-0222111"|"Trustees of Dartmouth College"|"6377"|"1499487"|"Scholarships/Tuition Remission"|"Europe"|"157"|""|""|"2305746.0000"|"Student scholarships"|"FMV"
"02-0222111"|"Trustees of Dartmouth College"|"6378"|"1499487"|"Scholarships/Tuition Remission"|"Middle East and North Africa"|"7"|""|""|"98110.0000"|"Student scholarships"|"FMV"
"02-0222111"|"Trustees of Dartmouth College"|"6379"|"1499487"|"Scholarships/Tuition Remission"|"North America"|"12"|""|""|"152700.0000"|"Student scholarships"|"FMV"
"02-0222111"|"Trustees of Dartmouth College"|"6380"|"1499487"|"Scholarships/Tuition Remission"|"South America"|"18"|""|""|"257538.0000"|"Student scholarships"|"FMV"
"02-0222111"|"Trustees of Dartmouth College"|"6381"|"1499487"|"Scholarships/Tuition Remission"|"South Asia"|"5"|""|""|"48458.0000"|"Student scholarships"|"FMV"
"02-0222111"|"Trustees of Dartmouth College"|"6382"|"1499487"|"Scholarships/Tuition Remission"|"Sub-Saharan Africa"|"6"|""|""|"91978.0000"|"Student scholarships"|"FMV"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6925"|"1508502"|"Scholarships"|"Europe (including Iceland and Greenland)"|"38"|"1304000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6926"|"1508502"|"Scholarships"|"East Asia and the Pacific"|"15"|"434000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6927"|"1508502"|"Scholarships"|"South America"|"5"|"104000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6928"|"1508502"|"Scholarships"|"Sub-Saharan Africa"|"3"|"100000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6929"|"1508502"|"Scholarships"|"Middle East and North Africa"|"2"|"83000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6930"|"1508502"|"Scholarships"|"Central America and the Caribbean"|"3"|"69000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6931"|"1508502"|"Scholarships"|"North America (including Canada and Mexico, but not the United States)"|"2"|"50000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6932"|"1508502"|"Scholarships"|"South Asia"|"1"|"42000.0000"|"check"|"0.0000"|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"6933"|"1508502"|"Scholarships"|"Russia and the newly independent States"|"1"|"2000.0000"|"check"|"0.0000"|""|""
"01-0909843"|"Friends of Kenya Wildlife Trust"|"8024"|"1529797"|"Project Management Salary"|"Sub-Saharan Africa"|"3"|"16500.0000"|"wire transfer"|""|""|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"9159"|"1594051"|"AWARDS ARE PROVIDED TO THOSE PROFESSIONALS FROM DEVELOPING COUNTRIES WHO ARE ENGAGED"|"MIDDLE EAST AND NORTH AFRICA - ALGERIA, BAHRAIN, DJIBOUTI, EGYPT"|"1"|"1000.0000"|""|""|""|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"9160"|"1594051"|"AWARDS ARE PROVIDED TO THOSE PROFESSIONALS FROM DEVELOPING COUNTRIES WHO ARE ENGAGED"|"SOUTH AMERICA - ARGENTINA, BOLIVIA, BRAZIL, CHILE, COLUMBIA, ECUADOR"|"4"|"4000.0000"|""|""|""|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"9161"|"1594051"|"AWARDS ARE PROVIDED TO THOSE PROFESSIONALS FROM DEVELOPING COUNTRIES WHO ARE ENGAGED"|"EAST ASIA AND THE PACIFIC - AUSTRALIA, BRUNEI, BURMA, CAMBODIA"|"2"|"2000.0000"|""|""|""|""
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"10303"|"1632064"|"TRAINING OF CHRISTIAN LEADERS"|"LATIN AMERICA"|"2"|"15100.0000"|"CHECK"|""|""|"FMV"
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"10304"|"1632064"|"TRAINING OF CHRISTIAN LEADERS"|"SUB-SAHARAN AFRICA"|"2"|"1500.0000"|"CHECK"|""|""|"FMV"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"10556"|"1644178"|"MISSIONARY SUPPORT"|"Central America and the Caribbean"|"6"|"42469.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"10557"|"1644178"|"MISSIONARY SUPPORT"|"East Asia and the Pacific"|"2"|"11992.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"10558"|"1644178"|"MISSIONARY SUPPORT"|"Europe"|"5"|"85348.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"10559"|"1644178"|"MISSIONARY SUPPORT"|"South America"|"2"|"13543.0000"|"wire/check"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"10560"|"1644178"|"MISSIONARY SUPPORT"|"South Asia"|"1"|"642.0000"|"wire/check"|""|""|""
"01-0415961"|"Veterans For Peace Inc"|"11804"|"1716635"|"Faiza H Y Alaraj"|"Middle East and North Africa"|""|""|""|""|""|"Fair market value"
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"13555"|"1802977"|"RABBI ASHER WEISS"|"ISRAEL"|"1"|"8930.0000"|"CASH"|"0.0000"|""|"FMV"
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"13983"|"1816896"|"INCOME ASSISTANCE TO OVERSEE ORPHANAGE IN BRITO INCOME ASSISTANCE TO OVERSEE A SCHOOL"|"GUATEMALA"|""|"109258.0000"|"CHECKS"|""|""|"COST"
