"C_EIN"|"C_Org_Name"|"ACTIVITY_ID"|"XML_DOCUMENT_ID"|"REGION"|"NUM_OFFICES"|"NUM_EMP"|"ACTIVITIES"|"ACTIVITY_TYPE"|"TOT_EXPENDITURES"
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"40433"|"1674827"|"South America"|"0"|"0"|"Program Services"|"Meeting/conferences"|"3500.0000"
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"40434"|"1674827"|"South Asia"|"0"|"0"|"Program Services"|"Meeting/conferences"|"3000.0000"
"01-0621493"|"ALS THERAPY ALLIANCE INC"|"41167"|"1686591"|"EUROPE"|"0"|"0"|"RESRCH GRANTS TO UNIVS & HOSP"|""|"501500.0000"
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"42032"|"1689254"|"NORTH AMERICA - CANADA AND MEXICO, BUT NOT THE UNITED STATES"|"0"|"1"|"IT PROGRAMMER"|""|"81687.0000"
"01-0549023"|"PHARMACEUTICAL SECURITY INSTITUTE INC"|"42255"|"1692076"|"EAST ASIA ANDTHE PACIFIC"|"1"|"1"|"PROGRAM SERVICES"|"INFORMATION AND TRAINING ACTIVITIES,LISTTOTAL 83608 62"|"141148.0000"
"01-0549023"|"PHARMACEUTICAL SECURITY INSTITUTE INC"|"42256"|"1692076"|"EUROPE"|"1"|"1"|"PROGRAM SERVICES"|"INFORMATION AND TRAINING ACTIVITIES,LISTTOTAL 213971 15"|"216143.0000"
"01-0599150"|"REACHING U A FOUNDATION FOR URUGUAY"|"43111"|"1713323"|"SOUTH AMERICA - ARGENTINA, BOLIVIA"|"1"|"5"|"GRANTS TO CHARITABLE ORGANIZATIONS LOCATED IN URUGUAY"|""|"328553.0000"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC"|"44047"|"1716630"|"CENTRAL AMERICA ANDTHE CARIBBEAN"|"0"|"0"|"INVESTMENT"|""|"1941699.0000"
"01-0504905"|"GULF OF MAINE RESEARCH INSTITUTE"|"44048"|"1716639"|"EAST ASIA AND THE PACIFIC -"|"0"|"0"|"PROGRAM SERVICE"|"COMMISSION FOR THE CONSERVANCY OF BLUE FIN TUNA"|"18900.0000"
"01-0725409"|"AMERICAN PILGRIMS ON THE CAMINO"|"44049"|"1716652"|"SPAIN"|"0"|"0"|"INFRASTRUCTURE GRANT"|"GRANT"|"28000.0000"
